"","sample_city_name","sample_site_name","sample_site_code","ons_site_name","grid_reference_east","grid_reference_north","grab_compo_ind"
"310","","GRIMSBY   STW","UKENAN_AW_TP000116","",526212,410959,"Grab"
"313","Cornwall G7","St Ives Porthgwidden","SWS-ISP","",NA,NA,"Grab"
"314","Greater London","Slade Green SPS","TW-SLA","",NA,NA,"Grab"
"315","Newcastle","Newcastle - Ponteland","NW-PTL","",415208,571041,"Grab"
"316","","STOWMARKET STW","UKENAN_AW_TP000253","",605741,258373,"Grab"
"317","Sheffield","Swallownest","YW-SWA","",444018,385793,"Grab"
"318","","HAVERHILL STW","UKENAN_AW_TP000127","",568155,244852,"Grab"
"319","","DONCASTER (SANDALL) STW","UKENNE_YW_TP000119","",460189,405981,"Composite"
"320","Teesside","Hartlepool South","NW-HPS","",NA,NA,"Grab"
"322","Birmingham","Kingsbury Road Birmingham","ST-BKR","",412723,290906,"Grab"
"323","Leeds","Carr Place, Little London, Leeds","YW-LLC","",NA,NA,"Grab"
"331","Greater London","Enfield Maltbury Drive","TW-MAL","",NA,NA,"Grab"
"332","","WAKEFIELD (CALDER VALE) STW","UKENNE_YW_TP000063","",435069,420411,"Composite"
"333","","CLEVEDON / NAILSEA / YATTON   STW","UKENSW_WXW_TP000044","",338929,168181,"Composite"
"335","Greater Manchester","Davyhulme Urmston","UU-DSU","",NA,NA,"Composite"
"336","Sheffield","Firth Park, Grimesthorpe","YW-FPG","",437137,390307,"Grab"
"337","","MARKET HARBOROUGH STW","UKENAN_AW_TP000177","",475882,288865,"Grab"
"338","Greater London","Enfield Royal Small Arms","TW-RSA","",NA,NA,"Grab"
"339","","SUDBURY STW","UKENAN_AW_TP000254","",586240,241118,"Grab"
"341","","GLOUCESTER NetheridgeSTW","UKENMI_ST_TP000099","",380829,216121,"Grab"
"342","Birmingham","Rabone Lane","ST-BRL","",403254,288970,"Grab"
"345","","CAMBERLEY, CAMBERLEY, SURREY STW""","UKENTH_TWU_TP000033","",485799,159501,"Grab"
"348","Greater London","LONDON (HOGSMILL Valley STW)","UKENTH_TWU_TP000084","LONDON (HOGSMILL Valley STW)",518999,168301,"Grab"
"351","","SAFFRON WALDEN STW","UKENAN_AW_TP000224","",553342,238614,"Grab"
"352","Newcastle","Newcastle - Gosforth","NW-GFH","",422882,569823,"Grab"
"361","Greater London","Bedford Row1","TW-BED","",NA,NA,"Grab"
"362","","REIGATE STW","UKENTH_TWU_TP000123","",527219,148041,"Grab"
"368","Nottingham","Bulwell","ST-BNG","",NA,NA,"Grab"
"369","","DIDCOT, FOXHALL ROAD, DIDCOT, O STW""","UKENTH_TWU_TP000055","",451939,191421,"Grab"
"370","Greater London","Barking Waverley Gdns","TW-WVG","",NA,NA,"Unspecified"
"371","Greater London","Greenwich Terminal","TW-GWT","",NA,NA,"Grab"
"376","","MINEHEAD STW","UKENSW_WXW_TP000057","",299129,145071,"Composite"
"377","Birmingham","Tyburn Road All","ST-BTX","",410175,289765,"Grab"
"381","","RETFORD STW","UKENMI_ST_TP000178","",469629,382781,"Grab"
"384","","BARNSTAPLE   STW","UKENSW_SWS_TP000002","",253327,134309,"Composite"
"389","Sheffield","Whirlow","YW-NFI","",432225,382593,"Grab"
"390","Greater Manchester","Oldham Failsworth","UU-OFW","",NA,NA,"Grab"
"391","","JAYWICK STW","UKENAN_AW_TP000148","",614064,214273,"Grab"
"393","Nottingham","Nottingham City B","ST-NCB","",NA,NA,"Grab"
"396","","CONSETT STW","UKENNE_NU_TP000019","",409679,554931,"Composite"
"400","","BRIDLINGTON STW","UKENNE_YW_TP000061","",515971,465255,"Composite"
"402","Greater London","Walthamstow Tudor Court","TW-TUC","",NA,NA,"Grab"
"404","Bristol","Knowle West","WW-KNO","",356880,171793,"Grab"
"409","","MIDDLESBOROUGH   STW","UKENNE_NU_TP000012","",456119,524091,"Composite"
"411","Leeds","Gipton, Oakwood","YW-GIP","",433803,434684,"Grab"
"414","","SHEFFIELD (BLACKBURN MEADOWS) STW","UKENNE_YW_TP000057","",439589,391567,"Grab"
"415","Greater Manchester","Wigan all areas","UU-WCA","",NA,NA,"Grab"
"417","","KENDAL STW","UKENNW_UU_TP000070","",351699,490791,"Composite"
"418","Sheffield","Herdings, Backmoor, Rollestone, Hemsworth","YW-NSI","",435908,384446,"Grab"
"423","Greater London","LONDON (Deepham STW)","UKENTH_TWU_TP000054","LONDON (Deepham STW)",535659,193171,"Grab"
"426","","CAMBRIDGE STW","UKENAN_AW_TP000050","CAMBRIDGE",547187,261751,"Grab"
"432","","TONBRIDGE STW","UKENSO_SW_TP000020","",559968,146230,"Grab"
"434","","CHIPPENHAM STW","UKENSW_WXW_TP000023","",391799,171371,"Composite"
"435","","ALFRETON STW","UKENMI_ST_TP000003","",441319,356891,"Grab"
"437","Bristol","Clay Bottom, Eastville, Ridgeway","WW-CUR","",NA,NA,"Grab"
"439","Sheffield","Porter Brook","YW-SPB","",434544,386201,"Grab"
"440","","MAIDSTONE AND AYLESFORD STW","UKENSO_SW_TP000030","MAIDSTONE AND AYLESFORD",571975,159382,"Composite"
"441","Cornwall G7","Relubbus, St Hilary, Golgsithney","SWS-TAV","",NA,NA,"Grab"
"447","Greater Manchester","Oldham Butler Green","UU-OBW","",NA,NA,"Grab"
"451","","STOCKPORT STW","UKENNW_UU_TP000116","",386519,389821,"Composite"
"452","","DOVER/FOLKSTONE   STW","UKENSO_SW_TP000028","",628575,139968,"Grab"
"455","","CORBY STW","UKENAN_AW_TP000067","",490525,289058,"Grab"
"458","","WIGSTON STW","UKENMI_ST_TP000233","",459419,297141,"Grab"
"459","Birmingham","Bescot Crescent Walsall","ST-BBC","",400627,296708,"Grab"
"462","Newcastle","Newcastle -Seaton Valley","NW-SVY","",427070,575238,"Grab"
"466","","SIDMOUTH STW","UKENSW_SWS_TP000064","",313655,90455,"Composite"
"471","","TORQUAY/ PAIGNTON/ BRIXHAM  ) STW","UKENSW_SWS_TP000075","",289699,56301,"Composite"
"472","","TELFORD SOUTH   STW","UKENMI_ST_TP000060","",370979,301401,"Grab"
